ecotype id,2_LDV,4_SDV,40_2W
6909,23,56.8333,21.6
6977,23.5,64.3333,NA
100000,NA,NA,NA
6906,18.6667,27,23.2
8266,35,NA,NA
6897,25.5,72.5,49
6898,20.4,48.1667,15.2
5837,25,42.3333,28
6907,30.1667,53.6667,38
7438,28,44.8333,35.4
6910,21.6667,34.5,18.8
6913,40.5,NA,125
6914,35.5,53.5,60
6918,53,200,125
6919,24.3333,49.5,25.6
8214,25.8333,45.8333,27.4
6924,24.3333,48.3333,31
8424,21.6667,35.3333,43.8
6926,22.6667,35.8333,NA
6928,30.1667,71,53
6933,22,37.6667,27.4
7520,26,60.8333,23
7521,25.1667,59.8333,26.4
6936,24.5,40.5,28.6
7522,34.6667,58,54.6
6937,30.6667,51.6667,29.4
6939,22.5,68,19.6
6900,33.5,107.5,125
6901,30.2,61.5,NA
6908,23,62.25,27
6009,47,74.6667,125
6915,30.1667,55.6667,NA
6917,52,171.5,125
6920,44.6667,66.1667,55.6
6922,25,45,20.6
6923,23,59.8,18.4
6927,30.5,72.8333,NA
6929,27.6,42.8333,24
6930,19.8333,33,19.4
6940,24.6667,70,18.8
6942,20.8333,60.1667,20.4
6943,23.5,51.3333,19.8
7518,35.3333,77.25,NA
6946,29.8333,64.8333,22
8213,18.8333,37,17
6951,25.6667,47.1667,24.4
6958,23.1667,50,19.4
6959,29.1667,52.3333,28.6
7525,24.1667,78.5,25.8
6961,20.1667,31.6667,23.8
6967,21.6667,42,19
6973,27,59.5,23.6
6974,55.6667,161.333,125
6976,25.1667,55.3333,32.2
7516,42.8333,126,125
6979,20.8333,47.8333,14.2
6980,26.1667,57,32.2
6982,27.8333,43.8333,25.4
6983,32.2,88.5,NA
6985,21.8333,47.3333,25
6931,22,42.1667,20.6
6043,52.8333,99,125
6945,33,64.3333,NA
7519,33.1667,52.6,45.6
7526,29.1667,74.4,NA
7523,27.6667,68.6667,45.8
6956,27.1667,50,NA
6960,20.3333,38.8333,16.4
7524,24.1667,67.2,NA
6963,27,37.5,29
6964,32.6667,200,79
6965,40,80.6667,111.4
6966,23.8333,46.8333,27.8
6969,33.1667,77.5,96.8
6971,19.5,39.8,44.6
6975,25,50.3333,22.4
7517,NA,182.667,125
6978,21.8333,52,17.8
6981,19.1667,33.1667,14
6984,21.1667,44.1667,19.2
6899,23.1667,79.3333,18.6
6903,23.8333,56.8333,23.6
6904,23.3333,36.8333,41
6905,35.1667,76.3333,34.4
6911,22,26.3333,24.2
6916,27.1667,68.3333,20.2
8215,24,59.6667,22.8
6921,41.6667,71,NA
6932,24.3333,61.2,22.2
6046,51.25,117.2,NA
6944,21.3333,46.3333,17.4
7515,29.3333,NA,96.3
7514,29.5,69.2,NA
6962,24.5,38.8333,21.8
6968,34.5,70.8333,98.2
6972,31.3333,50.5,26.4
6970,19.8333,32.3333,26.4
8329,24.3333,39,19.2
7163,NA,NA,NA
8258,35.6,71,28.2
8259,31.8,62.8333,27
8290,23.3333,33.6,22.4
7461,24.6,47,26.6
7323,29.75,37.1667,25.8
8254,22.8333,51,24.8
8270,24.5,47.6667,25.6
8233,46,NA,73.6
8285,23.5,59,22.4
6016,35,55,78.2
8423,NA,NA,NA
8237,38.4,128.5,125
6040,43.2,78,72.4
6064,42,NA,125
6957,28.8333,47,47.2
8369,41,76,NA
8247,44.75,70.8333,77
8426,NA,NA,18.6
9058,NA,NA,125
8249,41.1667,NA,89.8
9057,NA,NA,33.2
6709,26.5,61,24.8
7000,NA,NA,NA
7062,NA,NA,NA
7460,NA,NA,NA
7123,NA,NA,NA
7147,NA,NA,NA
7255,NA,NA,NA
7275,NA,NA,NA
8241,37,73.5,33.4
6988,25.75,42.4,45.8
8256,36.3333,53.6667,22.6
8264,22.3333,37.4,NA
8265,24.6,48.5,20.6
8231,NA,NA,116.4
8271,26.1667,56.5,23.8
8274,32.6,56.5,55.8
8275,29,81,32.8
8420,NA,NA,22.2
8283,34.2,131.6,NA
8284,30,67.3333,29
6008,24.6667,58,16
8422,NA,NA,NA
8296,23.8333,56.8333,19
8297,27,68.6667,67.3
8300,27.6667,92,NA
8235,23.75,NA,33.8
8306,37.8,100.167,125
8310,31,57.5,18
8236,27,60,23.2
8311,22,57,NA
8314,27,36.5,21
8239,25.3333,55.8,22.4
8240,42.5,200,114.6
8323,24,58.8333,26
8242,48.8333,200,125
8325,22.8333,47,19
8326,34.8,73,NA
8222,41.25,72.5,69.7
8430,NA,NA,35.2
6042,28,53.6667,17.6
8335,49.8,83.3333,NA
8343,25,46,30.6
6074,43.6,135.333,125
8351,36,95,125
8353,19.3333,27.6,15.6
8354,27.5,NA,21.4
7296,27,NA,24.8
8365,30.5,44.6,19.2
8374,32.6667,54,25
8376,45.75,73.3333,125
8378,27.6,44,25.2
8412,NA,NA,NA
8387,30.3333,57.8,NA
8389,27.2,47,23.8
6243,24.75,50,21.6
7306,NA,NA,NA
7418,NA,NA,NA
8312,25,46.8,25.8
8313,25,58.3333,20.2
8334,25.8333,60.4,34.6
8337,28.5,36.25,35.6
8357,25.6667,40.2,30.2
8366,NA,NA,NA
8411,25,69,21.5
8388,24,40.5,24.6
8395,36.25,49.1667,24.4
7014,NA,NA,NA
7081,27.4,35,24.4
8243,28.5,NA,36.2
8245,25,33.6667,28
7033,NA,NA,NA
7064,NA,NA,NA
7094,NA,NA,NA
7424,NA,NA,NA
7231,NA,NA,NA
7282,NA,NA,NA
7477,NA,NA,NA
7346,NA,NA,NA
8230,46.8,200,21.2
